's gravenhage, |h;
'tween, |v;
'tween decks, |v;
0, |NA;
1, |NA;
1-dodecanol, |N;
1-hitter, |N;
10, |NA;
100, |NA;
1000, |NA;
10000, |N;
100000, |N;
1000000, |N;
1000000000, |N;
1000000000000, |N;
1000th, |A;
100th, |A;
10th, |A;
11, |NA;
11-plus, |N;
11th, |A;
12, |NA;
120, |N;
12th, |A;
13, |NA;
13th, |A;
14, |NA;
144, |N;
14th, |A;
15, |NA;
15 minutes, |h;
15august 1945, |h;
15th, |A;
16, |NA;
16th, |A;
17, |NA;
1728, |N;
17th, |A;
18, |NA;
18th, |A;
19, |NA;
19th, |A;
1st, |A;
1st class, |h;
1st-class mail, |h;
2, |NA;
2-hitter, |N;
2-hydroxybenzoic acid, |h;
2-methylpropenoic acid, |h;
2.718282..., |N;
20, |NA;
20th, |A;
21, |NA;
21th, |A;
22, |NA;
22th, |A;
23, |NA;
23rd, |A;
24, |NA;
24th, |A;
25, |NA;
25th, |A;
26, |NA;
26th, |A;
27, |NA;
27th, |A;
28, |NA;
28th, |A;
29, |NA;
29th, |A;
2d, |A;
2nd, |A;
3, |NA;
3-D, AN;
3-d, |N;
3-hitter, |N;
3.14159265358979323846..., |N;
30, |NA;
30 minutes, |h;
30th, |A;
365 days, |h;
366 days, |h;
3d, |N;
3d radar, |h;
3rd, |A;
4, |NA;
4-F, N;
4-H, A;
4-H'er, N;
4-hitter, |N;
40, |NA;
40th, |A;
440 yards, |h;
4th, |A;
4to, |N;
5, |NA;
5-hitter, |N;
5-hydroxytryptamine, |N;
50, |NA;
500, |NA;
50th, |A;
5th, |A;
6, |NA;
6 june 1944, |h;
60, |NA;
60 minutes, |h;
60th, |A;
6th, |A;
7, |NA;
70, |NA;
70th, |A;
7th, |A;
8, |NA;
8 may 1945, |h;
80, |NA;
80th, |A;
880 yards, |h;
8th, |A;
8vo, |N;
9, |NA;
90, |NA;
90th, |A;
9th, |A;
A, N;
A battery, h;
A horizon, h;
A level, h;
A supply, h;
A-1, N;
A-OK, A;
A-Z test, h;
A-axis, N;
A-bomb, N;
A-frame, N;
A-line, NA;
A-pole, N;
A/C, N;
A/O, N;
A/P, N;
A/V, N;
A/m, N;
A1, A;
A1c, N;
AA, N;
AAA, N;
AAAA, N;
AAAL, N;
AAAS, N;
AAE, N;
AAEE, N;
AAF, N;
AAG, N;
AAM, N;
AAP, N;
AAPSS, N;
AAS, N;
AATech, N;
AAU, N;
AAUP, N;
AAUW, N;
AAeE, N;
AAgr, N;
AAvTech, N;
AB, N;
ABA, N;
ABC, N;
ABC Powers, h;
ABEPP, N;
ABEd, N;
ABFM, N;
ABLS, N;
ABM, N;
ABO system, h;
ABPC, N;
ABS, N;
ABus, N;
AC, N;
AC/DC, Ah;
ACAA, N;
ACLS, N;
ACLU, N;
ACP, N;
ACS, N;
ACTH, N;
ACW, N;
ACWA, N;
AD, N;
ADA, N;
ADC, N;
ADIZ, N;
ADP, N;
AE, N;
AE and P, h;
AEA, N;
AEC, N;
AEF, N;
AET, N;
AEd, N;
AEng, N;
AF, N;
AFA, N;
AFAM, N;
AFB, N;
