k, NA;
k particle, |h;
k ration, |h;
k'ai shu, h;
k-meson, N;
k2', |N;
kA, N;
kCi, N;
kG, N;
kHz, N;
kJ, N;
kMc, N;
kOe, N;
kV, N;
kVA, N;
kVAH, N;
kVAr, N;
kWh, N;
ka, N;
kab, N;
kabaka, N;
kabala, N;
kaballit nunaat, |h;
kabaragoya, N;
kabbala, N;
kabbalah, |N;
kabob, N;
kabolin, |N;
kabuki, N;
kabul, |N;
kabuzuchi, N;
kacha, A;
kachang puteh, h;
kachin, |N;
kachina, N;
kachina doll, h;
kachinic, |N;
kadai, |N;
kadai language, |h;
kadi, N;
kadis, p;
kaf, N;
kaffee klatsch, h;
kaffir, |N;
kaffir beer, h;
kaffir boom, |h;
kaffir bread, |h;
kaffir cat, |h;
kaffir corn, h;
kaffiyeh, N;
kafir, |N;
kafir corn, |h;
kafiri, |N;
kafka, |N;
kafkaesque, |A;
kaftan, N;
kago, N;
kagos, p;
kagu, N;
kahikatea, |N;
kahlua, |N;
kahoolawe, |N;
kahoolawe island, |h;
kahuna, N;
kai apple, |h;
kaiak, N;
kaif, N;
kail, N;
kailyard, N;
kailyard school, h;
kailyarder, N;
kailyardism, N;
kain, N;
kainite, N;
kainogenesis, N;
kaiser, N;
kaiser roll, |h;
kaiserdom, N;
kaiserism, N;
kaisership, N;
kajeput, N;
kaka, N;
kakapo, N;
kakapos, p;
kakatoe, |N;
kakatoe galerita, |h;
kakatoe leadbeateri, |h;
kakemono, N;
kakemonos, p;
kaki, N;
kakis, p;
kakistocracies, p;
kakistocracy, N;
kakistocratical, A;
kal, N;
kala-azar, N;
kalahari, |N;
kalahari desert, |h;
kalam, N;
kalamein work, h;
kalanchoe, N;
kalantas, |N;
kalapooia, |N;
kalapooian, |N;
kalapuya, |N;
kalapuyan, |N;
kalathoi, p;
kalathos, N;
kale, N;
kaleidoscope, N;
kaleidoscopic, A;
kaleidoscopical, |A;
kaleidoscopically, v;
kalema, N;
kalendar, N;
kalendarial, A;
kalends, p;
kaleyard, N;
kaleyard school, h;
kali, N;
kalian, N;
kalif, N;
kalifate, N;
kalimantan, |N;
kalinite, N;
kaliph, N;
kalis, p;
kalka, |N;
kalki, |N;
kalmia, N;
kalmia angustifolia, |h;
kalmia latifolia, |h;
kalmia polifolia, |h;
kalong, N;
kalotermes, |N;
kalotermitidae, |N;
kalpa, N;
kalpak, N;
kalpis, N;
kalsomine, N;
kalsomined, t;
kalsominer, N;
kalsomining, t;
kaltemail, N;
kalumpang, |N;
kam muang, |h;
kam-sui, |N;
kam-tai, |N;
kama, |N;
kamacite, N;
kamala, N;
kamarupan, |N;
kamashimo zashi, h;
kamba, |N;
kambal, N;
kamchatka peninsula, |h;
kamchatkan sea eagle, |h;
kame, N;
kamelaukion, N;
kamelkia, p;
kamet, |N;
kami, N;
kamia, |N;
kamikaze, N;
kammon strait bridge, |h;
kampala, |N;
kampong, N;
kampuchea, |N;
kampuchean, |NA;
kampylite, N;
kamseen, N;
kana, N;
kana-majiri, N;
kanaf, |N;
kanamono, p;
kanamycin, N;
kanarese, |N;
kanawha, |N;
kanawha river, |h;
kanchanjanga, |N;
kanchenjunga, |N;
kanchil, |N;
kane, N;
kaneelhart, N;
kang, N;
kanga, N;
kangaroo, NV;
kangaroo apple, |h;
kangaroo bear, |h;
kangaroo closure, h;
kangaroo court, h;
kangaroo grass, h;
kangaroo hare, |h;
kangaroo jerboa, |h;
kangaroo mouse, |h;
kangaroo paw, h;
kangaroo rat, h;
kangaroo thorn, h;
kangaroo vine, h;
kangaroo's-foot, |N;
kangaroo-foot plant, |h;
kangarooing, N;
kangaroolike, A;
kangaroos, p;
kanji, N;
kanjis, p;
kannada, |N;
kanone, N;
kans, N;
kans grass, h;
kansa, |N;
kansan, |N;
kansas, |N;
kansas city, |h;
kansas river, |h;
kansu, |N;
kant, |N;
kantar, N;
kantele, N;
kantharoi, p;
kantharos, N;
kantian, |A;
kanzu, N;
kaoliang, N;
kaolin, N;
kaoline, |N;
kaolinic, A;
kaolinisation, N;
